Date,Open,High,Low,Close,Adj Close,Volume,Adj Open,Adj High,Adj Low
2025-03-03,241.72,244.03,236.11,238.03,238.03,46788610,241.72,244.03,236.11
2025-02-28,236.95,242.09,230.2,241.84,241.84,56796200,236.95,242.09,230.2
2025-02-27,239.41,242.46,237.06,237.3,237.3,41153600,239.41,242.46,237.06
2025-02-26,244.33,244.98,239.13,240.36,240.36,44433600,244.33,244.98,239.13
2025-02-25,248.0,250.0,244.91,247.04,247.04,48013300,248.0,250.0,244.91
2025-02-24,244.93,248.86,244.42,247.1,247.1,51326400,244.93,248.86,244.42
2025-02-21,245.95,248.69,245.22,245.55,245.55,53197400,245.95,248.69,245.22
2025-02-20,244.94,246.78,244.29,245.83,245.83,32316900,244.94,246.78,244.29
2025-02-19,244.66,246.01,243.16,244.87,244.87,32204200,244.66,246.01,243.16
2025-02-18,244.15,245.18,241.84,244.47,244.47,48822500,244.15,245.18,241.84
2025-02-14,241.25,245.55,240.99,244.6,244.6,40896200,241.25,245.55,240.99
2025-02-13,236.91,242.34,235.57,241.53,241.53,53614100,236.91,242.34,235.57
2025-02-12,231.2,236.96,230.68,236.87,236.87,45243300,231.2,236.96,230.68
2025-02-11,228.2,235.23,228.13,232.62,232.62,53718400,228.2,235.23,228.13
2025-02-10,229.57,230.59,227.2,227.65,227.65,33115600,229.57,230.59,227.2
2025-02-07,232.6,234.0,227.26,227.63,227.38,39707200,232.34454158063525,233.7430039977156,227.01040636120018
2025-02-06,231.29,233.8,230.43,233.22,232.96,29925300,231.03215161649945,233.53935340022298,230.173110367893
2025-02-05,228.53,232.67,228.27,232.47,232.21,39620300,228.27440659009767,232.40977631522347,228.01469738030715
2025-02-04,227.25,233.13,226.65,232.8,232.54,45067300,226.99619845360823,232.86963144329894,226.396868556701
2025-02-03,229.99,231.83,225.7,228.01,227.76,73063300,229.73782904258587,231.57581158721112,225.45253278364984
2025-01-31,247.19,247.19,233.44,236.0,235.74,101075100,246.9176720338983,246.9176720338983,233.18282033898305
2025-01-30,238.67,240.79,237.21,237.59,237.33,55658300,238.40881813207628,240.52649816911486,236.95041584241764
2025-01-29,234.12,239.86,234.01,239.36,239.1,45486100,233.86569184491975,239.5994568850267,233.75581133021387
2025-01-28,230.85,240.19,230.81,238.26,238.0,75707600,230.59808612440193,239.927893897423,230.55812977419626
2025-01-27,224.02,232.15,223.98,229.86,229.61,94863400,223.7763516923345,231.89750935351955,223.7363951970765
2025-01-24,224.78,225.63,221.41,222.78,222.54,54697900,224.53784540802585,225.38692970643683,221.17147589550228
2025-01-23,224.74,227.03,222.3,223.66,223.41,60234800,224.48879281051597,226.7762331217026,222.05152016453548
2025-01-22,219.79,224.12,219.79,223.83,223.58,64126500,219.54451235312513,223.8696760934638,219.54451235312513
2025-01-21,224.0,224.42,219.38,222.64,222.4,98070400,223.75853395616244,224.17808120733022,219.14351419331658
2025-01-17,232.12,232.29,228.48,229.98,229.73,68488300,231.86767371075746,232.0374889120793,228.23163057657186
2025-01-16,237.35,238.01,228.03,228.26,228.01,71759100,237.0900442477876,237.749321387891,227.78025190572154
2025-01-15,234.64,238.96,234.43,237.87,237.61,39832000,234.38353049985287,238.69880859292894,234.17376003699502
2025-01-14,234.75,236.12,232.47,233.28,233.02,39435300,234.48836162551441,235.85683470507547,232.2109027777778
2025-01-13,233.53,234.67,229.72,234.4,234.14,49630700,233.2709650170648,234.40970051194535,229.46519112627985
2025-01-10,240.01,240.16,233.0,236.85,236.59,61710900,239.74653113785098,239.89636647667302,232.74422630356767
2025-01-08,241.92,243.71,240.05,242.7,242.43,37628900,241.6508677379481,243.4388763906057,239.78294808405442
2025-01-07,242.98,245.55,241.35,242.21,241.94,40856000,242.70914165393663,245.2762767846084,241.08095867222656
2025-01-06,244.31,247.33,243.2,245.0,244.73,45045600,244.04076040816327,247.05743224489797,242.93198367346938
2025-01-03,243.36,244.18,241.89,243.36,243.09,40244100,243.09,243.90909023668638,241.62163091715973
2025-01-02,248.93,249.1,241.82,243.85,243.58,55740700,248.65437523067465,248.82418700020506,241.55224769325406
2024-12-31,252.44,253.28,249.43,250.42,250.14,39480700,252.1577413944573,252.99680217235044,249.15110694034024
2024-12-30,252.23,253.5,250.75,252.2,251.92,35557500,251.9499666931007,253.21855670103093,250.4716098334655
2024-12-27,257.83,258.7,253.06,255.59,255.31,42355300,257.5475460698775,258.41659298094606,252.78277162643298
2024-12-26,258.19,260.1,257.63,259.02,258.74,27237100,257.9108972280133,259.8188325225852,257.35150258667284
2024-12-24,255.49,258.21,255.29,258.2,257.92,23234700,255.2129388071263,257.92998915569325,255.01315569326107
2024-12-23,254.77,255.65,253.45,255.27,254.99,40858800,254.49054843890784,255.36958318643008,253.17199631762446
2024-12-20,248.04,255.0,245.69,254.49,254.21,147495300,247.76709654603323,254.7194388777555,245.41968210931665
2024-12-19,247.5,252.0,247.09,249.79,249.52,60882300,247.2324752792346,251.72761119340248,246.82291845149928
2024-12-18,252.16,254.28,247.74,248.05,247.78,56774100,251.8855263051804,254.00321870590605,247.47033743196937
2024-12-17,250.08,253.83,249.78,253.48,253.2,51356400,249.8037557203724,253.54961338172637,249.5040871074641
2024-12-16,247.99,251.38,247.65,251.04,250.76,51694800,247.71340184831104,251.09962077756532,247.3737810707457
2024-12-13,247.82,249.29,246.24,248.13,247.86,33155300,247.55033732317736,249.01873775843308,245.97205658324268
2024-12-12,246.89,248.74,245.68,247.96,247.69,32777500,246.62116510727535,248.4691506694628,245.4124826584933
2024-12-11,247.96,250.8,246.26,246.49,246.22,45205800,247.68838979268935,250.52527891598035,245.99025193719825
2024-12-10,246.89,248.21,245.34,247.77,247.5,36914800,246.62095895386847,247.93952052306574,245.07264802034143
2024-12-09,241.83,247.24,241.75,246.75,246.48,44649200,241.56538358662613,246.96946382978723,241.48547112462003
2024-12-06,242.91,244.63,242.08,242.84,242.57,36870600,242.63992217097677,244.3580098006918,241.8108450008236
2024-12-05,243.99,244.54,242.13,243.04,242.77,40033900,243.71894461816987,244.2683336076366,241.86101094470047
2024-12-04,242.87,244.11,241.25,243.01,242.74,44383900,242.60015554915438,243.83877782807295,240.98195547508334
2024-12-03,239.81,242.76,238.9,242.65,242.38,38861000,239.5431601071502,242.48987760148358,238.63417267669482
2024-12-02,237.27,240.79,237.16,239.59,239.33,48137100,237.01251763429192,240.52869777536623,236.90263700488333
2024-11-29,234.81,237.81,233.97,237.33,237.07,28481400,234.55276071293133,237.5494741499178,233.7136809505751
2024-11-27,234.47,235.69,233.81,234.93,234.67,33498400,234.2105090878134,235.42915889839526,233.55123951815435
2024-11-26,233.33,235.57,233.33,235.06,234.8,45986200,233.07191355398624,235.30943588870926,233.07191355398624
2024-11-25,231.46,233.25,229.74,232.87,232.61,90152800,231.2015742689054,232.98957572894747,229.48349465366945
2024-11-22,228.06,230.72,228.06,229.87,229.62,38168300,227.811968503937,230.46907556444947,227.811968503937
2024-11-21,228.88,230.16,225.71,228.52,228.27,42108300,228.6296061613863,229.9082058463154,225.4630741291791
2024-11-20,228.06,229.93,225.89,229.0,228.75,35169600,227.81102620087336,229.67898471615723,225.64339519650653
2024-11-19,226.98,230.16,226.66,228.28,228.03,36211800,226.73142369020502,229.9079411249343,226.4117741370247
2024-11-18,225.25,229.74,225.17,228.02,227.77,44686000,225.003037014297,229.48811420050876,224.92312472590123
2024-11-15,226.4,226.92,224.27,225.0,224.75,47923700,226.14844444444446,226.66786666666667,224.02081111111113
2024-11-14,225.02,228.87,225.0,228.22,227.97,44923900,224.77350538953644,228.6192879677504,224.75352729822103
2024-11-13,224.01,226.65,222.76,225.12,224.87,48566200,223.76123267590617,226.39830090618338,222.5126208244492
2024-11-12,224.55,225.59,223.36,224.23,223.98,40398300,224.29964322347593,225.33848369977255,223.11096998617492
2024-11-11,225.0,225.7,221.5,224.23,223.98,42005600,224.74914150648888,225.4483610578424,221.2530437497213
2024-11-08,227.17,228.66,226.41,226.96,226.71,38328800,226.91976868170602,228.4081274233345,226.16060583362707
2024-11-07,224.63,227.88,224.57,227.48,226.98,42137700,224.13626428697026,227.37912080182872,224.07639616669596
2024-11-06,222.61,226.07,221.19,222.72,222.23,54561100,222.1202420079023,225.57262975933907,220.70336610991376
2024-11-05,221.8,223.95,221.14,223.45,222.96,28111300,221.31361825911839,223.45890355784292,220.6550655627657
2024-11-04,220.99,222.79,219.71,222.01,221.52,44944500,220.50225124994373,222.2982784559254,219.22507634791228
2024-11-01,220.97,225.35,220.27,222.91,222.42,65276700,220.48426450136824,224.85463640034092,219.78580323897538
2024-10-31,229.34,229.83,225.37,225.91,225.41,64370100,228.8324084812536,229.32132397857555,224.87119516621664
2024-10-30,232.61,233.47,229.55,230.1,229.59,47070900,232.09443676662323,232.9525306388527,229.04121903520212
2024-10-29,233.1,234.33,232.32,233.67,233.16,35417200,232.59124406213894,233.81855950699708,231.8129464629606
2024-10-28,233.32,234.73,232.55,233.4,232.89,36087100,232.8101748071979,234.21709383033416,232.04185732647815
2024-10-25,229.74,233.22,229.57,231.41,230.9,38802300,229.23368048053243,232.70601097618948,229.0640551402273
2024-10-24,229.98,230.82,228.41,230.57,230.06,31109500,229.47130502667304,230.30944702259617,227.90477772476905
2024-10-23,234.08,235.14,227.76,230.76,230.25,52287000,233.5626625065003,234.6203198127925,227.25663026521062
2024-10-22,233.89,236.22,232.6,235.86,235.34,38846600,233.37434325447296,235.69920630882726,232.08718731450858
2024-10-21,234.45,236.85,234.45,236.48,235.96,36254500,233.93446380243574,236.3291864005413,233.93446380243574
2024-10-18,236.18,236.18,234.01,235.0,234.48,46431500,235.6573889361702,235.6573889361702,233.49219063829784
2024-10-17,233.43,233.85,230.52,232.15,231.64,32993800,232.91718802498383,233.33626534568162,230.0135808744346
2024-10-16,231.6,232.12,229.84,231.78,231.27,34082200,231.09039606523427,231.60925187677972,229.3342687030805
2024-10-15,233.61,237.49,232.37,233.85,233.34,64751400,233.1005234124439,236.9720615779346,231.86322771007056
2024-10-14,228.7,231.73,228.6,231.3,230.79,39882100,228.19573281452656,231.2190518806744,228.09595330739296
