Date,Open,High,Low,Close,Adj Close,Volume,Adj Open,Adj High,Adj Low
2025-03-03,25.79,26.93,25.12,25.53,25.53,1058897,25.79,26.93,25.12
2025-02-28,26.26,27.06,25.3,26.17,26.17,1741200,26.26,27.06,25.3
2025-02-27,25.55,26.72,25.39,26.39,26.39,903100,25.55,26.72,25.39
2025-02-26,24.92,25.97,24.45,25.57,25.57,977000,24.92,25.97,24.45
2025-02-25,25.04,25.38,23.47,25.08,25.08,1081700,25.04,25.38,23.47
2025-02-24,27.28,27.28,25.01,25.01,25.01,795100,27.28,27.28,25.01
2025-02-21,27.39,29.0,26.62,27.07,27.07,1115600,27.39,29.0,26.62
2025-02-20,26.73,29.14,26.3,27.1,27.1,1581100,26.73,29.14,26.3
2025-02-19,25.83,27.0,25.81,26.67,26.67,842700,25.83,27.0,25.81
2025-02-18,25.62,26.82,25.17,26.13,26.13,1152200,25.62,26.82,25.17
2025-02-14,26.34,26.56,24.92,25.39,25.39,1241000,26.34,26.56,24.92
2025-02-13,26.05,26.47,25.52,26.02,26.02,980400,26.05,26.47,25.52
2025-02-12,25.5,26.43,25.5,25.85,25.85,842400,25.5,26.43,25.5
2025-02-11,25.9,26.3,25.29,26.16,26.16,860800,25.9,26.3,25.29
2025-02-10,26.41,27.13,26.07,26.34,26.34,735800,26.41,27.13,26.07
2025-02-07,28.61,28.91,26.0,26.37,26.37,1261100,28.61,28.91,26.0
2025-02-06,29.99,30.48,28.22,28.69,28.69,1095900,29.99,30.48,28.22
2025-02-05,29.8,30.16,29.29,30.03,30.03,776700,29.8,30.16,29.29
2025-02-04,28.25,29.54,27.93,29.5,29.5,787500,28.25,29.54,27.93
2025-02-03,28.0,28.86,27.2,28.2,28.2,984200,28.0,28.86,27.2
2025-01-31,28.95,28.95,27.76,28.02,28.02,655000,28.95,28.95,27.76
2025-01-30,28.92,29.81,27.79,28.0,28.0,715100,28.92,29.81,27.79
2025-01-29,27.76,28.65,27.7,28.42,28.42,514100,27.76,28.65,27.7
2025-01-28,27.9,28.47,27.01,27.8,27.8,730900,27.9,28.47,27.01
2025-01-27,28.28,29.4,27.41,27.85,27.85,1077100,28.28,29.4,27.41
2025-01-24,26.84,29.68,26.65,28.3,28.3,1652300,26.84,29.68,26.65
2025-01-23,26.99,27.94,26.64,27.0,27.0,948300,26.99,27.94,26.64
2025-01-22,26.06,27.46,26.0,27.14,27.14,1163000,26.06,27.46,26.0
2025-01-21,26.57,27.5,26.0,27.39,27.39,685600,26.57,27.5,26.0
2025-01-17,27.17,27.41,26.23,26.26,26.26,589300,27.17,27.41,26.23
2025-01-16,28.23,28.77,26.29,26.72,26.72,945300,28.23,28.77,26.29
2025-01-15,28.48,30.3,28.13,28.2,28.2,1515200,28.48,30.3,28.13
2025-01-14,25.75,28.0,24.95,27.52,27.52,1983800,25.75,28.0,24.95
2025-01-13,23.42,25.58,23.08,25.33,25.33,860700,23.42,25.58,23.08
2025-01-10,24.64,25.01,23.62,24.15,24.15,935700,24.64,25.01,23.62
2025-01-08,25.3,25.61,24.8,25.42,25.42,695000,25.3,25.61,24.8
2025-01-07,26.67,26.8,25.39,25.4,25.4,949600,26.67,26.8,25.39
2025-01-06,27.16,27.33,26.14,26.56,26.56,582300,27.16,27.33,26.14
2025-01-03,27.12,28.26,27.04,27.72,27.72,921500,27.12,28.26,27.04
2025-01-02,26.75,28.0,26.43,27.03,27.03,796600,26.75,28.0,26.43
2024-12-31,27.12,27.92,25.97,26.7,26.7,710000,27.12,27.92,25.97
2024-12-30,28.04,28.34,27.0,27.06,27.06,658700,28.04,28.34,27.0
2024-12-27,29.46,29.86,28.37,28.74,28.74,561400,29.46,29.86,28.37
2024-12-26,29.46,29.92,28.68,29.66,29.66,429000,29.46,29.92,28.68
2024-12-24,30.06,30.23,29.01,29.62,29.62,378700,30.06,30.23,29.01
2024-12-23,30.54,30.65,29.69,29.98,29.98,837700,30.54,30.65,29.69
2024-12-20,30.54,32.61,30.06,30.78,30.78,1110600,30.54,32.61,30.06
2024-12-19,30.41,30.87,29.39,30.8,30.8,876700,30.41,30.87,29.39
2024-12-18,30.05,31.41,29.94,30.01,30.01,1129900,30.05,31.41,29.94
